Age,,grip strength,ankle plantar flexion  strength,ankle dorsiflexion  strength,Knee flexion strength (N),Knee extension strength (N),hip abduction  strength,hip external rotation  strength,hip internal rotation strength,elbow flexion  strength,elbow extension strength,shoulder external rotation  strength,shoulder internal rotation  strength
3,mean,19,85,39,9,13,25,19,28,33,36,18,24
3,SD,4,29,14,4,5,8,9,13,10,9,7,7
,,,,,,,,,,,,,
4,mean,26,110,59,14,21,30,28,37,44,50,24,36
4,SD,8,25,20,3,6,7,9,10,8,9,9,8
,,,,,,,,,,,,,
5,mean,43,126,77,25,31,56,49,66,68,61,32,48
5,SD,15,18,12,3,4,15,6,17,24,15,6,9
,,,,,,,,,,,,,
6,mean,51,146,88,23,36,49,45,58,63,61,36,54
6,SD,12,37,21,6,10,11,12,20,14,12,8,14
,,,,,,,,,,,,,
7,mean,58,166,98,28,41,60,51,70,74,66,36,52
7,SD,13,31,15,5,7,17,10,17,18,14,7,17
,,,,,,,,,,,,,
8,mean,64,185,106,36,49,71,54,84,79,79,48,53
8,SD,12,31,21,6,13,12,10,10,16,18,8,11
,,,,,,,,,,,,,
9,mean,93,181,105,40,49,76,60,85,102,81,49,67
9,SD,9,31,14,6,6,13,10,18,13,12,6,14
,,,,,,,,,,,,,
10,mean,98,215,126,43,70,94,72,103,112,89,53,70
10,SD,15,32,22,9,14,17,8,18,18,18,12,13
,,,,,,,,,,,,,
11,mean,112,243,160,61,84,99,84,118,113,98,58,83
11,SD,16,41,25,13,13,20,7,21,20,11,11,16
,,,,,,,,,,,,,
12,mean,117,270,152,58,112,112,106,142,147,132,67,97
12,SD,16,43,22,18,19,35,16,59,19,25,11,15
,,,,,,,,,,,,,
13,mean,155,289,165,63,115,110,105,132,152,130,67,99
13,SD,36,41,57,23,38,28,27,20,40,29,15,26
,,,,,,,,,,,,,
14,mean,152,289,152,82,126,133,102,145,154,113,75,102
14,SD,33,34,42,16,23,23,22,29,33,23,10,16
,,,,,,,,,,,,,
15,mean,173,282,176,71,121,134,126,180,166,138,80,117
15,SD,51,58,37,19,29,50,46,74,45,30,21,31
,,,,,,,,,,,,,
16,mean,163,279,178,71,138,123,119,161,161,125,88,119
16,SD,22,41,23,15,29,19,25,37,40,42,20,25
,,,,,,,,,,,,,
17,mean,166,282,197,73,135,134,114,160,165,124,88,117
17,SD,30,70,37,25,53,37,31,39,38,27,20,40
,,,,,,,,,,,,,
18,mean,198,225,171,67,141,110,102,148,160,118,73,103
18,SD,41,38,14,17,32,17,16,34,22,26,8,16
,,,,,,,,,,,,,
19,mean,204,238,182,71,127,117,110,142,154,116,82,109
19,SD,28,36,22,5,12,20,17,26,22,19,15,16
,,,,,,,,,,,,,
20,mean,197,236,189,65,138,118,102,141,169,114,78,103
20,SD,52,25,26,16,31,19,21,38,31,24,15,23
,,,,,,,,,,,,,
21,mean,209,226,176,67,128,112,101,132,157,117,83,110
21,SD,41,55,43,20,33,33,28,43,40,31,24,37
,,,,,,,,,,,,,
31,mean,193,241,161,69,132,119,103,134,167,126,86,116
31,SD,63,53,42,21,36,34,27,40,48,33,19,37
,,,,,,,,,,,,,
41,mean,182,256,162,63,116,113,102,143,167,125,83,111
41,SD,47,69,41,18,33,33,32,51,46,30,21,31
,,,,,,,,,,,,,
51,mean,172,251,158,59,111,105,94,132,165,118,76,102
51,SD,41,58,39,14,27,31,29,41,34,26,18,28
,,,,,,,,,,,,,
61,mean,144,235,148,51,94,93,85,122,145,111,71,98
61,SD,33,61,29,13,25,22,21,33,31,23,18,23
,,,,,,,,,,,,,
71,mean,121,210,122,44,77,83,76,104,126,100,62,84
71,SD,29,58,43,12,21,25,25,29,32,26,17,29
,,,,,,,,,,,,,
81,mean,112,197,117,38,66,70,64,93,107,92,52,68
81,SD,37,46,37,10,22,16,21,33,23,20,18,22
,,,,,,,,,,,,,
91,mean,79,69,168,35,37,49,70,53,62,55,37,39
91,SD,0,0,0,0,0,0,0,0,0,0,0,0
